pbs_code,prescriber_code,prescriber_type,schedule_code
"11180K","N","Nurse Practitioners","3834"
"11181L","M","Medical Practitioners","3834"
"11182M","M","Medical Practitioners","3834"
"11183N","M","Medical Practitioners","3834"
"11183N","N","Nurse Practitioners","3834"
"11184P","M","Medical Practitioners","3834"
"11184P","N","Nurse Practitioners","3834"
"11185Q","M","Medical Practitioners","3834"
"11185Q","N","Nurse Practitioners","3834"
"11186R","M","Medical Practitioners","3834"
"11186R","N","Nurse Practitioners","3834"
"11187T","M","Medical Practitioners","3834"
"11187T","N","Nurse Practitioners","3834"
"11188W","M","Medical Practitioners","3834"
"11188W","N","Nurse Practitioners","3834"
"11189X","M","Medical Practitioners","3834"
"11189X","N","Nurse Practitioners","3834"
"11190Y","M","Medical Practitioners","3834"
"11190Y","N","Nurse Practitioners","3834"
"11194E","M","Medical Practitioners","3834"
"11195F","M","Medical Practitioners","3834"
"11196G","M","Medical Practitioners","3834"
"11197H","M","Medical Practitioners","3834"
"11198J","M","Medical Practitioners","3834"
"11199K","M","Medical Practitioners","3834"
"1119X","M","Medical Practitioners","3834"
"1119X","N","Nurse Practitioners","3834"
"11200L","M","Medical Practitioners","3834"
"11200L","N","Nurse Practitioners","3834"
"11201M","M","Medical Practitioners","3834"
"11202N","M","Medical Practitioners","3834"
"11204Q","M","Medical Practitioners","3834"
"11205R","M","Medical Practitioners","3834"
"11205R","N","Nurse Practitioners","3834"
"11206T","M","Medical Practitioners","3834"
"11207W","M","Medical Practitioners","3834"
"11208X","M","Medical Practitioners","3834"
"11210B","M","Medical Practitioners","3834"
"11210B","N","Nurse Practitioners","3834"
"11211C","M","Medical Practitioners","3834"
"11212D","M","Medical Practitioners","3834"
"11213E","M","Medical Practitioners","3834"
"11215G","M","Medical Practitioners","3834"
"11216H","M","Medical Practitioners","3834"
"11217J","M","Medical Practitioners","3834"
"11218K","M","Medical Practitioners","3834"
"1121B","M","Medical Practitioners","3834"
"1121B","N","Nurse Practitioners","3834"
"11221N","M","Medical Practitioners","3834"
"11222P","M","Medical Practitioners","3834"
"11223Q","M","Medical Practitioners","3834"
"11224R","M","Medical Practitioners","3834"
"11225T","M","Medical Practitioners","3834"
"11226W","M","Medical Practitioners","3834"
"11227X","M","Medical Practitioners","3834"
"11227X","N","Nurse Practitioners","3834"
"11228Y","D","Dental","3834"
"11229B","M","Medical Practitioners","3834"
"11230C","M","Medical Practitioners","3834"
"11231D","M","Medical Practitioners","3834"
"11232E","M","Medical Practitioners","3834"
"11233F","M","Medical Practitioners","3834"
"11233F","N","Nurse Practitioners","3834"
"11233F","W","Midwives","3834"
"11234G","M","Medical Practitioners","3834"
"11235H","M","Medical Practitioners","3834"
"11236J","M","Medical Practitioners","3834"
"11237K","M","Medical Practitioners","3834"
"11238L","M","Medical Practitioners","3834"
"11239M","M","Medical Practitioners","3834"
"11240N","M","Medical Practitioners","3834"
"11241P","M","Medical Practitioners","3834"
"11242Q","M","Medical Practitioners","3834"
"11243R","M","Medical Practitioners","3834"
"11244T","M","Medical Practitioners","3834"
"11245W","M","Medical Practitioners","3834"
"11245W","N","Nurse Practitioners","3834"
"11247Y","M","Medical Practitioners","3834"
"11248B","M","Medical Practitioners","3834"
"11248B","N","Nurse Practitioners","3834"
"11249C","D","Dental","3834"
"11250D","M","Medical Practitioners","3834"
"11251E","M","Medical Practitioners","3834"
"11252F","M","Medical Practitioners","3834"
"11253G","M","Medical Practitioners","3834"
"11254H","M","Medical Practitioners","3834"
"11255J","M","Medical Practitioners","3834"
"11255J","N","Nurse Practitioners","3834"
"11256K","M","Medical Practitioners","3834"
"11257L","M","Medical Practitioners","3834"
"11258M","M","Medical Practitioners","3834"
"11259N","M","Medical Practitioners","3834"
"11260P","M","Medical Practitioners","3834"
"11261Q","M","Medical Practitioners","3834"
"11262R","M","Medical Practitioners","3834"
"11263T","M","Medical Practitioners","3834"
"11264W","M","Medical Practitioners","3834"
"11265X","M","Medical Practitioners","3834"
"11265X","N","Nurse Practitioners","3834"
"11266Y","M","Medical Practitioners","3834"
"11267B","M","Medical Practitioners","3834"
"11268C","M","Medical Practitioners","3834"
"11268C","N","Nurse Practitioners","3834"
"11269D","M","Medical Practitioners","3834"
"11269D","N","Nurse Practitioners","3834"
"11271F","M","Medical Practitioners","3834"
"11272G","M","Medical Practitioners","3834"
"11273H","M","Medical Practitioners","3834"
"11273H","N","Nurse Practitioners","3834"
"11275K","M","Medical Practitioners","3834"
"11275K","N","Nurse Practitioners","3834"
"11276L","M","Medical Practitioners","3834"
"11276L","N","Nurse Practitioners","3834"
"11277M","M","Medical Practitioners","3834"
"11278N","M","Medical Practitioners","3834"
"11279P","M","Medical Practitioners","3834"
"11279P","N","Nurse Practitioners","3834"
"11283W","M","Medical Practitioners","3834"
"11283W","N","Nurse Practitioners","3834"
"11284X","M","Medical Practitioners","3834"
"11286B","M","Medical Practitioners","3834"
"11286B","N","Nurse Practitioners","3834"
"11288D","M","Medical Practitioners","3834"
"11288D","N","Nurse Practitioners","3834"
"11289E","M","Medical Practitioners","3834"
"1128J","M","Medical Practitioners","3834"
"11290F","M","Medical Practitioners","3834"
"11290F","N","Nurse Practitioners","3834"
"11293J","M","Medical Practitioners","3834"
"11295L","M","Medical Practitioners","3834"
"11295L","N","Nurse Practitioners","3834"
"11296M","M","Medical Practitioners","3834"
"11296M","N","Nurse Practitioners","3834"
"11297N","M","Medical Practitioners","3834"
"11301T","M","Medical Practitioners","3834"
"11301T","N","Nurse Practitioners","3834"
"11302W","M","Medical Practitioners","3834"
"11302W","N","Nurse Practitioners","3834"
"11303X","M","Medical Practitioners","3834"
"11303X","N","Nurse Practitioners","3834"
"11304Y","M","Medical Practitioners","3834"
"11308E","M","Medical Practitioners","3834"
"11308E","N","Nurse Practitioners","3834"
"11309F","M","Medical Practitioners","3834"
"11315M","M","Medical Practitioners","3834"
"11316N","M","Medical Practitioners","3834"
"11317P","M","Medical Practitioners","3834"
"11318Q","M","Medical Practitioners","3834"
"11319R","M","Medical Practitioners","3834"
"1131M","M","Medical Practitioners","3834"
"11320T","M","Medical Practitioners","3834"
"11321W","M","Medical Practitioners","3834"
"11322X","M","Medical Practitioners","3834"
"11323Y","M","Medical Practitioners","3834"
"11324B","M","Medical Practitioners","3834"
"11325C","M","Medical Practitioners","3834"
"11326D","M","Medical Practitioners","3834"
"11327E","M","Medical Practitioners","3834"
"11327E","N","Nurse Practitioners","3834"
"11328F","M","Medical Practitioners","3834"
"11330H","M","Medical Practitioners","3834"
"11331J","M","Medical Practitioners","3834"
"11331J","N","Nurse Practitioners","3834"
"11332K","M","Medical Practitioners","3834"
"11332K","N","Nurse Practitioners","3834"
"11333L","M","Medical Practitioners","3834"
"11333L","N","Nurse Practitioners","3834"
"11334M","M","Medical Practitioners","3834"
"11335N","M","Medical Practitioners","3834"
"11336P","M","Medical Practitioners","3834"
"11337Q","M","Medical Practitioners","3834"
"11337Q","N","Nurse Practitioners","3834"
"11338R","M","Medical Practitioners","3834"
"11338R","N","Nurse Practitioners","3834"
"11339T","M","Medical Practitioners","3834"
"11340W","M","Medical Practitioners","3834"
"11340W","N","Nurse Practitioners","3834"
"11341X","M","Medical Practitioners","3834"
"11343B","M","Medical Practitioners","3834"
"11343B","N","Nurse Practitioners","3834"
"11344C","M","Medical Practitioners","3834"
"11344C","N","Nurse Practitioners","3834"
"11345D","M","Medical Practitioners","3834"
"11345D","N","Nurse Practitioners","3834"
"11346E","M","Medical Practitioners","3834"
"11346E","N","Nurse Practitioners","3834"
"11347F","M","Medical Practitioners","3834"
"11348G","M","Medical Practitioners","3834"
"11349H","M","Medical Practitioners","3834"
"11350J","M","Medical Practitioners","3834"
"11350J","N","Nurse Practitioners","3834"
"11351K","M","Medical Practitioners","3834"
"11351K","N","Nurse Practitioners","3834"
"11352L","M","Medical Practitioners","3834"
"11353M","M","Medical Practitioners","3834"
"11353M","N","Nurse Practitioners","3834"
"11354N","M","Medical Practitioners","3834"
"11354N","N","Nurse Practitioners","3834"
"11355P","M","Medical Practitioners","3834"
"11355P","N","Nurse Practitioners","3834"
"11356Q","M","Medical Practitioners","3834"
"11357R","M","Medical Practitioners","3834"
"11357R","N","Nurse Practitioners","3834"
"11358T","M","Medical Practitioners","3834"
"11358T","N","Nurse Practitioners","3834"
"11359W","M","Medical Practitioners","3834"
"11360X","M","Medical Practitioners","3834"
"11361Y","M","Medical Practitioners","3834"
"11362B","M","Medical Practitioners","3834"
"11363C","M","Medical Practitioners","3834"
"11364D","M","Medical Practitioners","3834"
"11364D","N","Nurse Practitioners","3834"
"11365E","M","Medical Practitioners","3834"
"11366F","D","Dental","3834"
"11367G","M","Medical Practitioners","3834"
"11368H","M","Medical Practitioners","3834"
"11369J","M","Medical Practitioners","3834"
"11371L","M","Medical Practitioners","3834"
"11372M","M","Medical Practitioners","3834"
"11373N","M","Medical Practitioners","3834"
"11374P","M","Medical Practitioners","3834"
"11375Q","M","Medical Practitioners","3834"
"11376R","M","Medical Practitioners","3834"
"11377T","M","Medical Practitioners","3834"
"11378W","M","Medical Practitioners","3834"
"11379X","M","Medical Practitioners","3834"
"11379X","N","Nurse Practitioners","3834"
"11380Y","M","Medical Practitioners","3834"
"11380Y","N","Nurse Practitioners","3834"
"11380Y","W","Midwives","3834"
"11381B","M","Medical Practitioners","3834"
"11382C","M","Medical Practitioners","3834"
"11383D","M","Medical Practitioners","3834"
"11384E","M","Medical Practitioners","3834"
"11385F","M","Medical Practitioners","3834"
"11386G","M","Medical Practitioners","3834"
"11389K","M","Medical Practitioners","3834"
"11391M","M","Medical Practitioners","3834"
"11392N","M","Medical Practitioners","3834"
"11393P","M","Medical Practitioners","3834"
"11394Q","M","Medical Practitioners","3834"
"11395R","M","Medical Practitioners","3834"
"11396T","M","Medical Practitioners","3834"
"11397W","M","Medical Practitioners","3834"
"11399Y","M","Medical Practitioners","3834"
"113Y","M","Medical Practitioners","3834"
"11400B","M","Medical Practitioners","3834"
"11401C","M","Medical Practitioners","3834"
"11402D","M","Medical Practitioners","3834"
"11403E","M","Medical Practitioners","3834"
"11404F","M","Medical Practitioners","3834"
"11406H","M","Medical Practitioners","3834"
"11406H","N","Nurse Practitioners","3834"
"11407J","M","Medical Practitioners","3834"
"11407J","N","Nurse Practitioners","3834"
"11409L","M","Medical Practitioners","3834"
"11409L","N","Nurse Practitioners","3834"
"11410M","M","Medical Practitioners","3834"
"11410M","N","Nurse Practitioners","3834"
"11411N","M","Medical Practitioners","3834"
"11412P","M","Medical Practitioners","3834"
"11414R","M","Medical Practitioners","3834"
"11415T","M","Medical Practitioners","3834"
"11416W","M","Medical Practitioners","3834"
"11416W","N","Nurse Practitioners","3834"
"11418Y","M","Medical Practitioners","3834"
"11418Y","N","Nurse Practitioners","3834"
"11419B","M","Medical Practitioners","3834"
"11422E","M","Medical Practitioners","3834"
"11423F","M","Medical Practitioners","3834"
"11424G","M","Medical Practitioners","3834"
"11425H","M","Medical Practitioners","3834"
"11426J","M","Medical Practitioners","3834"
"11426J","N","Nurse Practitioners","3834"
"11428L","M","Medical Practitioners","3834"
"11428L","N","Nurse Practitioners","3834"
"11429M","M","Medical Practitioners","3834"
"11429M","N","Nurse Practitioners","3834"
"11430N","M","Medical Practitioners","3834"
"11431P","M","Medical Practitioners","3834"
"11432Q","M","Medical Practitioners","3834"
"11433R","M","Medical Practitioners","3834"
"11434T","M","Medical Practitioners","3834"
"11435W","M","Medical Practitioners","3834"
"11436X","M","Medical Practitioners","3834"
"11437Y","M","Medical Practitioners","3834"
"11439C","O","Optometrist","3834"
"11440D","M","Medical Practitioners","3834"
"11440D","N","Nurse Practitioners","3834"
"11441E","M","Medical Practitioners","3834"
"11441E","N","Nurse Practitioners","3834"
"11442F","M","Medical Practitioners","3834"
"11443G","M","Medical Practitioners","3834"
"11445J","M","Medical Practitioners","3834"
"11446K","M","Medical Practitioners","3834"
"11446K","N","Nurse Practitioners","3834"
"11447L","M","Medical Practitioners","3834"
"11448M","M","Medical Practitioners","3834"
"11449N","M","Medical Practitioners","3834"
"11450P","M","Medical Practitioners","3834"
"11451Q","M","Medical Practitioners","3834"
"11451Q","N","Nurse Practitioners","3834"
"11452R","M","Medical Practitioners","3834"
"11452R","N","Nurse Practitioners","3834"
"11453T","M","Medical Practitioners","3834"
"11454W","M","Medical Practitioners","3834"
"11455X","M","Medical Practitioners","3834"
"11456Y","M","Medical Practitioners","3834"
"11457B","M","Medical Practitioners","3834"
"11458C","M","Medical Practitioners","3834"
"11459D","M","Medical Practitioners","3834"
"11460E","M","Medical Practitioners","3834"
"11461F","M","Medical Practitioners","3834"
"11462G","M","Medical Practitioners","3834"
"11463H","M","Medical Practitioners","3834"
"11464J","M","Medical Practitioners","3834"
"11465K","M","Medical Practitioners","3834"
"11466L","M","Medical Practitioners","3834"
"11468N","M","Medical Practitioners","3834"
"11469P","M","Medical Practitioners","3834"
"11471R","M","Medical Practitioners","3834"
"11472T","M","Medical Practitioners","3834"
"11473W","M","Medical Practitioners","3834"
"11475Y","M","Medical Practitioners","3834"
"11476B","M","Medical Practitioners","3834"
"11477C","M","Medical Practitioners","3834"
"11480F","M","Medical Practitioners","3834"
"11482H","M","Medical Practitioners","3834"
"11483J","M","Medical Practitioners","3834"
"11484K","M","Medical Practitioners","3834"
"11484K","N","Nurse Practitioners","3834"
"11486M","M","Medical Practitioners","3834"
"11488P","M","Medical Practitioners","3834"
"11489Q","M","Medical Practitioners","3834"
"11490R","M","Medical Practitioners","3834"
"11492W","M","Medical Practitioners","3834"
"11493X","M","Medical Practitioners","3834"
"11494Y","M","Medical Practitioners","3834"
"11495B","M","Medical Practitioners","3834"
"11496C","M","Medical Practitioners","3834"
"11497D","M","Medical Practitioners","3834"
"11498E","M","Medical Practitioners","3834"
"11499F","M","Medical Practitioners","3834"
"11500G","M","Medical Practitioners","3834"
"11501H","M","Medical Practitioners","3834"
"11502J","M","Medical Practitioners","3834"
"11503K","M","Medical Practitioners","3834"
"11505M","M","Medical Practitioners","3834"
"11506N","M","Medical Practitioners","3834"
"11507P","M","Medical Practitioners","3834"
"11510T","M","Medical Practitioners","3834"
"11511W","M","Medical Practitioners","3834"
"11512X","M","Medical Practitioners","3834"
"11513Y","M","Medical Practitioners","3834"
"11514B","M","Medical Practitioners","3834"
"11515C","M","Medical Practitioners","3834"
"11516D","M","Medical Practitioners","3834"
"11518F","M","Medical Practitioners","3834"
"11519G","M","Medical Practitioners","3834"
"11520H","M","Medical Practitioners","3834"
"11520H","N","Nurse Practitioners","3834"
"11521J","M","Medical Practitioners","3834"
"11522K","M","Medical Practitioners","3834"
"11524M","M","Medical Practitioners","3834"
"11527Q","M","Medical Practitioners","3834"
"11528R","M","Medical Practitioners","3834"
"11531X","M","Medical Practitioners","3834"
"11532Y","M","Medical Practitioners","3834"
"11533B","M","Medical Practitioners","3834"
"11534C","M","Medical Practitioners","3834"
"11535D","M","Medical Practitioners","3834"
"11536E","M","Medical Practitioners","3834"
"11537F","M","Medical Practitioners","3834"
"11538G","M","Medical Practitioners","3834"
"11539H","M","Medical Practitioners","3834"
"1153Q","M","Medical Practitioners","3834"
"1153Q","N","Nurse Practitioners","3834"
"11540J","M","Medical Practitioners","3834"
"11540J","N","Nurse Practitioners","3834"
"11543M","M","Medical Practitioners","3834"
"11545P","M","Medical Practitioners","3834"
"11546Q","M","Medical Practitioners","3834"
"11547R","M","Medical Practitioners","3834"
"11548T","M","Medical Practitioners","3834"
"11552B","M","Medical Practitioners","3834"
"11553C","M","Medical Practitioners","3834"
"11554D","M","Medical Practitioners","3834"
"11554D","N","Nurse Practitioners","3834"
"11555E","M","Medical Practitioners","3834"
"11556F","M","Medical Practitioners","3834"
"11557G","M","Medical Practitioners","3834"
"11558H","M","Medical Practitioners","3834"
"11559J","M","Medical Practitioners","3834"
"11559J","N","Nurse Practitioners","3834"
"11560K","M","Medical Practitioners","3834"
"11565Q","M","Medical Practitioners","3834"
"11567T","M","Medical Practitioners","3834"
"11588X","M","Medical Practitioners","3834"
"11589Y","M","Medical Practitioners","3834"
"11590B","M","Medical Practitioners","3834"
"11591C","M","Medical Practitioners","3834"
"11592D","M","Medical Practitioners","3834"
"11593E","M","Medical Practitioners","3834"
"11594F","M","Medical Practitioners","3834"
"11595G","M","Medical Practitioners","3834"
"11596H","M","Medical Practitioners","3834"
"11597J","M","Medical Practitioners","3834"
"11598K","M","Medical Practitioners","3834"
"11599L","M","Medical Practitioners","3834"
"11600M","M","Medical Practitioners","3834"
"11602P","M","Medical Practitioners","3834"
"11603Q","M","Medical Practitioners","3834"
"11603Q","N","Nurse Practitioners","3834"
"11604R","M","Medical Practitioners","3834"
"11604R","N","Nurse Practitioners","3834"
"11605T","M","Medical Practitioners","3834"
"11606W","M","Medical Practitioners","3834"
"11607X","M","Medical Practitioners","3834"
"11608Y","M","Medical Practitioners","3834"
"11611D","M","Medical Practitioners","3834"
"11611D","N","Nurse Practitioners","3834"
"11613F","M","Medical Practitioners","3834"
"11614G","M","Medical Practitioners","3834"
"11615H","M","Medical Practitioners","3834"
"11615H","N","Nurse Practitioners","3834"
"11616J","M","Medical Practitioners","3834"
"11620N","M","Medical Practitioners","3834"
"11621P","M","Medical Practitioners","3834"
"11621P","N","Nurse Practitioners","3834"
"11622Q","M","Medical Practitioners","3834"
"11623R","M","Medical Practitioners","3834"
"11625W","M","Medical Practitioners","3834"
"11625W","N","Nurse Practitioners","3834"
"11626X","M","Medical Practitioners","3834"
"11627Y","M","Medical Practitioners","3834"
"11628B","M","Medical Practitioners","3834"
"11629C","M","Medical Practitioners","3834"
"11629C","N","Nurse Practitioners","3834"
"11630D","M","Medical Practitioners","3834"
"11632F","M","Medical Practitioners","3834"
"11633G","M","Medical Practitioners","3834"
"11633G","N","Nurse Practitioners","3834"
"11634H","O","Optometrist","3834"
"11636K","M","Medical Practitioners","3834"
"11638M","M","Medical Practitioners","3834"
"11639N","M","Medical Practitioners","3834"
"1163F","M","Medical Practitioners","3834"
"11640P","M","Medical Practitioners","3834"
"11640P","N","Nurse Practitioners","3834"
"11642R","M","Medical Practitioners","3834"
"11644W","M","Medical Practitioners","3834"
"11645X","M","Medical Practitioners","3834"
"11645X","N","Nurse Practitioners","3834"
"11646Y","M","Medical Practitioners","3834"
"11648C","M","Medical Practitioners","3834"
"11649D","M","Medical Practitioners","3834"
"11649D","N","Nurse Practitioners","3834"
"11651F","M","Medical Practitioners","3834"
"11656L","M","Medical Practitioners","3834"
"11656L","N","Nurse Practitioners","3834"
"11658N","M","Medical Practitioners","3834"
"11658N","N","Nurse Practitioners","3834"
"11659P","M","Medical Practitioners","3834"
"11659P","N","Nurse Practitioners","3834"
"1165H","M","Medical Practitioners","3834"
"1165H","N","Nurse Practitioners","3834"
"11660Q","M","Medical Practitioners","3834"
"11661R","M","Medical Practitioners","3834"
"11662T","M","Medical Practitioners","3834"
"11662T","N","Nurse Practitioners","3834"
"11664X","M","Medical Practitioners","3834"
"11665Y","M","Medical Practitioners","3834"
"11665Y","N","Nurse Practitioners","3834"
"11666B","M","Medical Practitioners","3834"
"11666B","N","Nurse Practitioners","3834"
"11667C","M","Medical Practitioners","3834"
"11668D","M","Medical Practitioners","3834"
"11669E","M","Medical Practitioners","3834"
"11669E","N","Nurse Practitioners","3834"
"1166J","M","Medical Practitioners","3834"
"1166J","N","Nurse Practitioners","3834"
"11670F","M","Medical Practitioners","3834"
"11670F","N","Nurse Practitioners","3834"
"11671G","M","Medical Practitioners","3834"
"11672H","M","Medical Practitioners","3834"
"11673J","M","Medical Practitioners","3834"
"11675L","M","Medical Practitioners","3834"
"11676M","M","Medical Practitioners","3834"
"11677N","M","Medical Practitioners","3834"
"11677N","N","Nurse Practitioners","3834"
"11678P","M","Medical Practitioners","3834"
"11678P","N","Nurse Practitioners","3834"
"11679Q","M","Medical Practitioners","3834"
"11680R","M","Medical Practitioners","3834"
"11681T","M","Medical Practitioners","3834"
"11681T","N","Nurse Practitioners","3834"
"11682W","M","Medical Practitioners","3834"
"11682W","N","Nurse Practitioners","3834"
"11683X","M","Medical Practitioners","3834"
"11683X","N","Nurse Practitioners","3834"
"11684Y","M","Medical Practitioners","3834"
"11685B","M","Medical Practitioners","3834"
"11687D","M","Medical Practitioners","3834"
"11687D","N","Nurse Practitioners","3834"
"11688E","M","Medical Practitioners","3834"
"11690G","M","Medical Practitioners","3834"
"11691H","M","Medical Practitioners","3834"
"11691H","N","Nurse Practitioners","3834"
"11692J","M","Medical Practitioners","3834"
"11692J","N","Nurse Practitioners","3834"
"11693K","M","Medical Practitioners","3834"
"11694L","M","Medical Practitioners","3834"
"11694L","N","Nurse Practitioners","3834"
"11695M","M","Medical Practitioners","3834"
"11696N","M","Medical Practitioners","3834"
"11697P","M","Medical Practitioners","3834"
"11697P","N","Nurse Practitioners","3834"
"1169M","M","Medical Practitioners","3834"
"11702X","M","Medical Practitioners","3834"
"11702X","N","Nurse Practitioners","3834"
"11702X","W","Midwives","3834"
"11703Y","M","Medical Practitioners","3834"
"11703Y","N","Nurse Practitioners","3834"
"11707E","M","Medical Practitioners","3834"
"11708F","M","Medical Practitioners","3834"
"11709G","M","Medical Practitioners","3834"
"11710H","M","Medical Practitioners","3834"
"11711J","M","Medical Practitioners","3834"
"11712K","M","Medical Practitioners","3834"
"11714M","M","Medical Practitioners","3834"
"11715N","M","Medical Practitioners","3834"
"11716P","M","Medical Practitioners","3834"
"11716P","N","Nurse Practitioners","3834"
"11717Q","M","Medical Practitioners","3834"
"11718R","M","Medical Practitioners","3834"
"11719T","M","Medical Practitioners","3834"
"11719T","N","Nurse Practitioners","3834"
"11720W","M","Medical Practitioners","3834"
"11721X","M","Medical Practitioners","3834"
"11722Y","M","Medical Practitioners","3834"
"11723B","M","Medical Practitioners","3834"
"11723B","N","Nurse Practitioners","3834"
"11724C","M","Medical Practitioners","3834"
"11725D","M","Medical Practitioners","3834"
"11726E","M","Medical Practitioners","3834"
"11726E","N","Nurse Practitioners","3834"
"11729H","M","Medical Practitioners","3834"
"11729H","N","Nurse Practitioners","3834"
"11730J","M","Medical Practitioners","3834"
"11732L","M","Medical Practitioners","3834"
"11732L","N","Nurse Practitioners","3834"
"11734N","M","Medical Practitioners","3834"
"11735P","D","Dental","3834"
"11736Q","M","Medical Practitioners","3834"
"11740X","M","Medical Practitioners","3834"
"11740X","N","Nurse Practitioners","3834"
"11741Y","M","Medical Practitioners","3834"
"11742B","M","Medical Practitioners","3834"
"11743C","M","Medical Practitioners","3834"
"11744D","M","Medical Practitioners","3834"
"11747G","M","Medical Practitioners","3834"
"11748H","M","Medical Practitioners","3834"
"11750K","M","Medical Practitioners","3834"
"11751L","M","Medical Practitioners","3834"
"11752M","M","Medical Practitioners","3834"
"11753N","M","Medical Practitioners","3834"
"11755Q","M","Medical Practitioners","3834"
"11755Q","N","Nurse Practitioners","3834"
"11756R","M","Medical Practitioners","3834"
"11757T","M","Medical Practitioners","3834"
"11758W","M","Medical Practitioners","3834"
"11760Y","M","Medical Practitioners","3834"
"11760Y","N","Nurse Practitioners","3834"
"11761B","M","Medical Practitioners","3834"
"11761B","N","Nurse Practitioners","3834"
"11762C","M","Medical Practitioners","3834"
"11763D","M","Medical Practitioners","3834"
"11764E","M","Medical Practitioners","3834"
"11765F","M","Medical Practitioners","3834"
"11769K","M","Medical Practitioners","3834"
"11770L","M","Medical Practitioners","3834"
"11771M","M","Medical Practitioners","3834"
"11772N","M","Medical Practitioners","3834"
"11775R","M","Medical Practitioners","3834"
"11776T","M","Medical Practitioners","3834"
"11777W","M","Medical Practitioners","3834"
"11778X","M","Medical Practitioners","3834"
"11779Y","M","Medical Practitioners","3834"
"11780B","M","Medical Practitioners","3834"
"11781C","M","Medical Practitioners","3834"
"11782D","M","Medical Practitioners","3834"
"11783E","M","Medical Practitioners","3834"
"11784F","M","Medical Practitioners","3834"
"11785G","M","Medical Practitioners","3834"
"11786H","M","Medical Practitioners","3834"
"11787J","M","Medical Practitioners","3834"
"11788K","M","Medical Practitioners","3834"
"11789L","M","Medical Practitioners","3834"
"11792P","M","Medical Practitioners","3834"
"11793Q","M","Medical Practitioners","3834"
"11794R","M","Medical Practitioners","3834"
"11795T","M","Medical Practitioners","3834"
"11796W","M","Medical Practitioners","3834"
"11797X","M","Medical Practitioners","3834"
"117E","M","Medical Practitioners","3834"
"11801D","M","Medical Practitioners","3834"
"11802E","M","Medical Practitioners","3834"
"11806J","M","Medical Practitioners","3834"
"11807K","M","Medical Practitioners","3834"
"11808L","M","Medical Practitioners","3834"
"1180D","M","Medical Practitioners","3834"
"1180D","N","Nurse Practitioners","3834"
"11812Q","M","Medical Practitioners","3834"
"11815W","M","Medical Practitioners","3834"
"11815W","N","Nurse Practitioners","3834"
"11816X","D","Dental","3834"
"11817Y","M","Medical Practitioners","3834"
"11817Y","N","Nurse Practitioners","3834"
"11817Y","W","Midwives","3834"
"11818B","M","Medical Practitioners","3834"
"11818B","N","Nurse Practitioners","3834"
"11819C","M","Medical Practitioners","3834"
"11820D","M","Medical Practitioners","3834"
"11821E","M","Medical Practitioners","3834"
"11822F","M","Medical Practitioners","3834"
"11822F","N","Nurse Practitioners","3834"
"11823G","M","Medical Practitioners","3834"
"11824H","M","Medical Practitioners","3834"
"11825J","M","Medical Practitioners","3834"
"11826K","M","Medical Practitioners","3834"
"11828M","M","Medical Practitioners","3834"
"1182F","M","Medical Practitioners","3834"
"1182F","N","Nurse Practitioners","3834"
"11831Q","M","Medical Practitioners","3834"
"11832R","M","Medical Practitioners","3834"
"11832R","N","Nurse Practitioners","3834"
"11833T","M","Medical Practitioners","3834"
"11834W","M","Medical Practitioners","3834"
"11835X","M","Medical Practitioners","3834"
"11836Y","M","Medical Practitioners","3834"
"11836Y","N","Nurse Practitioners","3834"
"11837B","M","Medical Practitioners","3834"
"11838C","M","Medical Practitioners","3834"
"1183G","M","Medical Practitioners","3834"
"1183G","N","Nurse Practitioners","3834"
"11840E","M","Medical Practitioners","3834"
"11841F","M","Medical Practitioners","3834"
"11842G","M","Medical Practitioners","3834"
"11842G","N","Nurse Practitioners","3834"
"11843H","M","Medical Practitioners","3834"
"11843H","N","Nurse Practitioners","3834"
"11844J","M","Medical Practitioners","3834"
"11844J","N","Nurse Practitioners","3834"
"11845K","M","Medical Practitioners","3834"
"11846L","M","Medical Practitioners","3834"
"11848N","M","Medical Practitioners","3834"
"11849P","O","Optometrist","3834"
"11850Q","M","Medical Practitioners","3834"
"11851R","M","Medical Practitioners","3834"
"11852T","M","Medical Practitioners","3834"
"11852T","N","Nurse Practitioners","3834"
"11853W","O","Optometrist","3834"
"11854X","M","Medical Practitioners","3834"
"11855Y","M","Medical Practitioners","3834"
"11856B","M","Medical Practitioners","3834"
"11856B","N","Nurse Practitioners","3834"
"11857C","M","Medical Practitioners","3834"
"11859E","M","Medical Practitioners","3834"
"11859E","N","Nurse Practitioners","3834"
"11860F","M","Medical Practitioners","3834"
"11861G","M","Medical Practitioners","3834"
"11862H","M","Medical Practitioners","3834"
"11863J","M","Medical Practitioners","3834"
"11864K","M","Medical Practitioners","3834"
"11865L","M","Medical Practitioners","3834"
"11865L","N","Nurse Practitioners","3834"
"11866M","M","Medical Practitioners","3834"
"11867N","M","Medical Practitioners","3834"
"11868P","M","Medical Practitioners","3834"
"11869Q","M","Medical Practitioners","3834"
"11869Q","N","Nurse Practitioners","3834"
"11870R","M","Medical Practitioners","3834"
"11871T","M","Medical Practitioners","3834"
"11872W","M","Medical Practitioners","3834"
"11872W","N","Nurse Practitioners","3834"
"11873X","M","Medical Practitioners","3834"
"11873X","N","Nurse Practitioners","3834"
"11874Y","M","Medical Practitioners","3834"
"11874Y","N","Nurse Practitioners","3834"
"11875B","M","Medical Practitioners","3834"
